id,title,score,popularity,genres,tags,main_char,description
105393,A Returner's Magic Should Be Special,76,48918,Action|Adventure|Fantasy,Male Protagonist:100|Magic:98|Lost Civilization:96|Full Color:87|Terrorism:87|Age Regression:85|School:80|Time Manipulation:80|War:80|Swordplay:79|Time Skip:79|Demons:76|Reincarnation:76|Historical:74|Dungeon:70|Ensemble Cast:50|Tsundere:20|Conspiracy:20|Espionage:20|Ojou-sama:20|Gore:20|Tragedy:20|Love Triangle:20|Long Strip:20|Female Harem:10,Desir Herrman,"The worst calamity humankind has ever faced...
  
Shadow Realms have ravaged the earth and decimated almost everyone in their way. The survival of humanity hinges upon the success of just six mages, including analytic fighter Desir Herrman. The remaining heroes make one final stand to end the bloodshed...but to no avail. Desir closes his eyes on what should be the end of his life—only to open them and see the beginning of his school days?! Desir has returned thirteen years back to the past, where he’s been given another chance. A chance to see the loved ones he lost, a chance to meet his fellow warriors again, and a chance to save the world…!
  
(Source: Yen Press)"
137280,I’m the Max-Level Newbie,77,48776,Action|Fantasy,Full Color:96|Male Protagonist:96|Dungeon:86|Magic:75|Urban Fantasy:63|Anti-Hero:60|Video Games:53|Demons:50|Vampire:44|Primarily Adult Cast:40|Gods:40|Heterosexual:40|Long Strip:40|Dragons:20|Nun:20|Time Skip:10,Jin-Hyeok Kang,"Kang Jin-Hyeok, a gaming streamer, and content creator is the only person who has cleared the game, [Tower of Trials]. However, as the game’s popularity declines, it becomes increasingly difficult for him to continue making a living as a content creator. Jinhyeok prepares to end his 11-year-long relationship with the game and say goodbye to his humble group of subscribers. But on that very day, the Tower of Trials appears in reality with a message saying that humanity will perish unless all players clear each floor within 90 days. Jin-Hyeok, who knows the game better than anyone, decides to use his knowledge to his advantage and dominate the tower. It’s time to show everyone what a hardcore gamer can do!
  
(Source: Tappytoon, edited)"
120980,Nano Machine,81,46188,Action|Adventure|Fantasy|Sci-Fi,Martial Arts:96|Cult:93|Anti-Hero:92|Swordplay:87|Full Color:85|Politics:82|Gore:81|Revenge:80|Cultivation:78|Artificial Intelligence:78|Male Protagonist:76|Wuxia:76|Time Skip:75|Torture:68|Cyborg:60|Female Harem:60|Medicine:55|Crossdressing:50|Heterosexual:46|Long Strip:20,Yeo-Un Cheon,"Nanotechnology meets martial arts at the Mashin Academy. Yeo-Un’s mother may not be one of the High Priest’s six official wives, but his father’s blood still qualifies him for a chance at the position of Minor Priest. Will a mysterious nanomachine injection from a future descendent help Yeo-un in this fierce competition against his powerful half-siblings?
  
(Source: WEBTOON)"
119521,The Legend of the Northern Blade,85,44836,Action|Adventure|Fantasy,Martial Arts:95|Revenge:91|Male Protagonist:89|Swordplay:86|Tragedy:84|Full Color:82|Gore:79|Anti-Hero:76|Wuxia:68|Time Skip:68|Politics:64|War:60|Found Family:60|Conspiracy:60|Heterosexual:40|Cult:20|Torture:20|Travel:20|Long Strip:20,Mu-Won Jin,"For decades, the brave warriors of the Northern Heavenly Sect fought to keep the world safe from the evil Silent Night. But when the fourth generation leader is accused of colluding with the enemy, he is forced to disband the sect and commit suicide to protect his son, Moo-Won. With no family and allies left, Moo-Won leads a dreary life under close surveillance... until a surprise attack from the Silent Night gives him a chance to escape to the mountains. There, the young warrior trains to master the fighting techniques of his predecessors, before the mysterious disappearance of a loved one brings him back to the mainland. Follow Moo-Won as he embarks on a journey to avenge his father’s death and take down the villains who threaten to plunge the world into darkness!  
 
(Source: Tappytoon)"
106929,Eleceed,85,44663,Action|Comedy|Supernatural,Urban Fantasy:97|Super Power:96|Full Color:86|Cultivation:81|Found Family:79|Animals:78|Primarily Male Cast:78|Male Protagonist:76|Primarily Teen Cast:76|Slapstick:68|Long Strip:68|Body Swapping:67|School:58|Heterosexual:57|Shapeshifting:56|Foreign:43|Bullying:42,Ji-U Seo,"Ji-U is a kind-hearted young man who harnesses the lightning quick reflexes of a cat to secretly make the world a better place – one saved little child or foster pet at a time. Kayden is a secret agent on the run, who finds himself stuck in the body of a…um…decidedly fat old fluffy cat. Together, armed with Ji-U’s super powers and Kayden’s uber-smarts, they’re out to fight those forces who would let evil rule this world. That is, if they can stand each other long enough to get the job done.
  (Source: WEBTOON, edited)"
86848,Lookism,78,44598,Action|Comedy|Drama|Supernatural,Body Swapping:97|Gangs:95|Delinquents:93|Full Color:92|Martial Arts:90|Ensemble Cast:88|Male Protagonist:87|Coming of Age:85|School:80|Fitness:80|Bullying:79|Long Strip:79|Heterosexual:76|Surreal Comedy:75|Boxing:62|Love Triangle:60|Found Family:60|Fashion:57|Meta:53|Primarily Male Cast:53|Primarily Teen Cast:40|Cult:36|Parody:35|Drugs:33|Detective:30|Homeless:20|LGBTQ+ Themes:20|Gambling:15|Memory Manipulation:10,Hyung-Suk Park,"Daniel is an unattractive loner who wakes up in a different body. Now tall, handsome, and cooler than ever in his new form, Daniel aims to achieve everything he couldn't before. How far will he go to keep his body... and his secrets?  (Source: WEBTOON)"
109957,Second Life Ranker,77,43789,Action|Adventure|Fantasy,Alternate Universe:95|Revenge:92|Full Color:88|Male Protagonist:82|Twins:79|Gods:78|Dungeon:76|Survival:75|Mythology:75|Anti-Hero:73|Dragons:73|Long Strip:50|Goblin:48|Military:42|Demons:20,Yeon-Woo Cha,"Yeonwoo’s brother disappeared years ago, and he’s devastated to learn of his death. As he copes with his loss, he’s given a pocket watch and learns there’s more to his brother’s death: he was betrayed while competing in the Tower of the Sun God. Now it’s Yeonwoo’s turn to use the knowledge his brother left behind. Can Yeonwoo (call sign: Cain) navigate that world and gain enough power and experience to reach the top of the tower, defeating his brother’s enemies and all those who stand in his way?
  
(Source: Tapas)"
123573,Lout of Count’s Family,78,43445,Action|Adventure|Comedy|Fantasy,Isekai:92|War:91|Found Family:87|Male Protagonist:83|Politics:83|Magic:78|Super Power:77|Full Color:75|Anti-Hero:74|Royal Affairs:70|Dragons:68|Animals:66|Ensemble Cast:62|Swordplay:60|Elf:60|Terrorism:55|Assassins:50|Shapeshifting:45|Kemonomimi:40|Twins:40|Butler:40|Long Strip:40|Fashion:40|Nekomimi:30,Choi  Han,"Kim Rok-Su has one life motto: “Let’s not get beat up.” But after dozing off somewhere midway through the novel “Birth of a Hero,” he wakes up as Cale Henituse - one of the minor villains in the novel who gets the beating of a lifetime from soon-to-be hero Choi Han. Only time will tell how much longer he has before that dreadful encounter. Can Kim Rok-Su change the course of this story so he can enjoy a long and lavish life free of the soon-to-be hero?
  
(Source: Tappytoon)"
119174,The Boxer,83,42974,Action|Drama|Sports,Boxing:99|Philosophy:96|Martial Arts:88|Athletics:88|Male Protagonist:88|Full Color:85|Primarily Male Cast:84|Tragedy:81|Religion:60|Bullying:57|Time Skip:52|Meta:50|Military:40|School:30|Heterosexual:30|Ensemble Cast:20|Long Strip:20,Yu,"You’ve got the raw talent. Or you’re the underdog. But do you have the heart? Do you have what it takes? Let’s see what you’re made of. The real fight starts now!  
 
(Source: WEBTOON) 
 
 Note: Includes 30 extra chapters."
144957,The World After the Fall,76,42865,Action|Adventure|Fantasy,Full Color:88|Male Protagonist:82|Dungeon:80|Primarily Male Cast:79|Primarily Adult Cast:79|Tragedy:77|Magic:70|Adoption:60|Crossover:55|Anti-Hero:53|Demons:53|Swordplay:53|Martial Arts:53|Time Manipulation:52|Conspiracy:50|Super Power:50|Meta:46|Afterlife:40|Memory Manipulation:40|Virtual World:40|Found Family:33|Zombie:20|Revenge:20|Gods:20|Post-Apocalyptic:20|Long Strip:20,Jae-Hwan,"Faced with imminent defeat and certain death, would you choose to run – or continue to fight for a doomed world? When mysterious towers appear across the world, summoning monsters that prey on mankind, this is the choice presented to the Tower Walkers – adventurers with special powers to fight the monsters. On the brink of death, they can choose to use a “regression stone” to return to the past for a second chance, though this decision places them in a separate timeline forever. Stubborn Tower Walker Jae-Hwan rejects this choice, choosing to fight for the original timeline, and learning shocking secrets about the Tower along the way. 
 
(Source: WEBTOON, edited)"
163824,Revenge of the Baskerville Bloodhound,80,42760,Action|Fantasy,Age Regression:93|Male Protagonist:91|Full Color:87|Revenge:86|Long Strip:79|Swordplay:78|Demons:75|Time Skip:74|Magic:57|Female Harem:56,Vikir van Baskerville,"Raised to kill like a pack of loyal hounds, the Baskerville children took countless lives as a band of fearsome assassins. Despite being the shunned illegitimate son of the brood, Vikir served his family faithfully, only to meet his untimely demise at his father’s hands. But when he is inexplicably reborn with a second chance at life, Vikir, armed with the memories and knowledge of his past, swears to rise above the pack and take his revenge. This time, he's ready to bite the hand that feeds.
  (Source: Tapas)"
132144,Return of the Blossoming Blade,84,42427,Action|Adventure|Fantasy,Swordplay:98|Wuxia:94|Reincarnation:92|Martial Arts:90|Male Protagonist:82|Cultivation:82|Full Color:80|Historical:72|Politics:64|Anti-Hero:64|Long Strip:60|Primarily Male Cast:57|Religion:53|Revenge:52|Demons:50|Gore:48|Zombie:40|Slapstick:40|Orphan:40|Tanned Skin:40|Economics:33|Ojou-sama:20,Cheong-Myeong,"When Cheong-Myeong of the Mount Hua Sect awakens a hundred years in the future, his last memories are of a bloody battle against the Leader of the Demonic Cult, the evil Cheon-Ma. The battle almost saw the end of the Ten Great Sects of ancient China, when Cheong-Myeong ended the hard-fought struggle by striking down Cheon-Ma. Soon after, he succumbed to his wounds, filled with regret at their pyrrhic victory. All is not lost, however, as he awakens to his second chance at life. Shocked to find his beloved Mount Hua Sect reduced to a mere shadow of itself in the present day, Cheong-Myeong embarks on a journey to restore Mount Hua to its former glory. 
 
(Source: WEBTOON, edited)"
159441,Pick Me Up,84,42029,Action|Adventure|Fantasy,Survival:97|Video Games:94|Isekai:93|Death Game:90|Full Color:88|Male Protagonist:88|Kingdom Management:80|Tragedy:79|Long Strip:79|Magic:75|Gore:75|Swordplay:74|Anti-Hero:65|Assassins:60|Goblin:31,Yslat Han,"1-Star heroes are just fodder for learning a boss' attack patterns. That was Seojin Han's philosophy when playing the notoriously difficult game Pick Me Up. But after being transported into the game as one of those 1-star heroes, he's got no choice but to rise in rank and defeat the player controlling him and his party. Can a gacha game character hope to defeat a player akin to being his god?
  (Source: Tapas)"
86099,Wind Breaker,85,41759,Action|Comedy|Drama|Romance|Sports,Cycling:98|Coming of Age:91|School:90|Full Color:89|Kuudere:89|Heterosexual:81|Delinquents:80|Tragedy:80|Male Protagonist:79|Fitness:73|Bullying:70|Slapstick:70|Meta:64|Gambling:62|Mafia:60|Suicide:60|Love Triangle:55|Female Harem:50|Foreign:50|Drugs:50|Long Strip:50,Yu-Bin Hong,"Jay's the perfect student. He's got straight As and he's the student body president. But after being coerced into joining the school's biking team, the Hummingbird Crew, he discovers a whole new world outside of studying. What new adventures will he face outside the comfort of his textbooks?
  
(Source: WEBTOON)  
 Notes: 
- Includes two extra chapters. 
- The work was cancelled after it was discovered that the artist had been tracing other people's art."
149332,The Swordmaster's Son,79,41665,Action|Adventure|Fantasy,Male Protagonist:91|Age Regression:90|Swordplay:87|Full Color:83|Reincarnation:80|Magic:66|Anti-Hero:66|Dragons:60|Time Skip:50|Time Manipulation:40|Politics:40|Family Life:30|Assassins:20|Long Strip:20,Jin Runcandel,"Jin Runcandel was destined to become the head of his swordmaster clan. But despite his best efforts, he's banished for his shoddy swordsmanship. Though Jin eventually makes a contract with the god Solderet and is freed from the curse that hindered his abilities, he meets a rather unfortunate end. In the next moment, however, he awakens as a baby, long before his tragedy began. Armed with a second chance and some new powers, Jin swears to fulfill his destiny and become the ultimate swordmaster.   (Source: Tapas)"
118408,Villains Are Destined to Die,84,40998,Drama|Fantasy|Psychological|Romance,Female Protagonist:98|Villainess:95|Full Color:94|Isekai:92|Tragedy:92|Estranged Family:90|Reincarnation:89|Ojou-sama:84|Adoption:84|Video Games:82|Bullying:80|Royal Affairs:80|Long Strip:80|Primarily Adult Cast:79|Male Harem:73|Heterosexual:67|Magic:61|Yandere:55|Suicide:53|Slavery:50|Tsundere:47|Unrequited Love:40|Espionage:20|Body Horror:20,Penelope Eckhart,"This game’s got me obsessed! It’s like it’s taken over my life... wait—HARD MODE ACTIVATED. No-no-no-no-no! It has literally taken me and thrown me into the part of Penelope Eckhart. Love is easy as the heroine, but as the hated villainess, I’m trying very hard not to die… at the hands of my brothers… the prince… a fork… every possible ending is death! This world is stacked against me, but can my wits and insider game knowledge score the affection of these male characters? Or the reset button???  (Source: Tapas)"
136220,Doom Breaker,79,39550,Action|Fantasy,Male Protagonist:88|Full Color:85|Dungeon:84|Gods:80|Reincarnation:73|Revenge:73|Time Manipulation:70|Dragons:70|Magic:64|Age Regression:60|Conspiracy:60|Swordplay:60|Cult:53|Primarily Adult Cast:50|Slavery:40|Demons:40|Heterosexual:36|Angels:30|Primarily Male Cast:20|Politics:20|Skeleton:13|Nun:10,Zephyr,"Zephyr is the last human fighting evil in a world abandoned by the gods. When he is killed in battle by Tartarus, the god of destruction, all hope for humanity seems lost. But Zephyr’s fate is not sealed — the gods who find his battles entertaining have gifted him a second chance at life, as he is sent ten years into the past, back to when he was a slave instead of the most powerful human alive. Can Zephyr get his revenge against Tartarus and save the woman he loves, or is he doomed to repeat the past?   
(Source: WEBTOON)"
107521,Who Made Me a Princess,83,39260,Comedy|Fantasy|Romance,Female Protagonist:90|Reincarnation:87|Isekai:86|Magic:85|Family Life:85|Full Color:80|Tsundere:80|Parenthood:79|Kingdom Management:79|Coming of Age:77|Amnesia:73|Revenge:72|Age Regression:69|Royal Affairs:68|Heterosexual:66|Memory Manipulation:65|Kuudere:64|Age Gap:62|Foreign:60|Conspiracy:60|Long Strip:60|Time Skip:57|Politics:56|Love Triangle:55|Survival:55|Maids:40|Time Manipulation:40|Ojou-sama:35|Chimera:32|Adoption:30|Fairy Tale:26|Witch:20|Espionage:20,Claude de Alger Obelia,"The story of Athanasia, forsaken princess of the Obelian Empire, ends with her execution at the hands of her own father—or does it? Her tragic tale is the plot of the novel The Lovely Princess. But now, a modern woman who read the book has just woken up as baby Athanasia herself, filled with her own memories and knowledge of the story she’s stuck in! Determined to survive her doomed fate, infant Athanasia embarks on this new life with a plan: avoid attention and hoard valuables to fund her escape. When her plan goes awry, she suddenly needs to charm her way into the good graces of her father, the beautiful tyrant emperor, so he doesn’t kill her again!
  
(Source: Seven Seas Entertainment)  
 Note: Includes 10 extra chapters."
38586,THE BREAKER,80,39206,Action|Comedy|Drama,Martial Arts:100|Revenge:90|Nudity:84|Male Protagonist:75|Gangs:74|School:64|Bullying:50|Gore:44|Tragedy:40,Shi-Woon Yi,"The story of The Breaker follows Shi-Woon Yi, a timid high school student who becomes the disciple of Chun-Woo Han, a martial artist who is an enemy to the secret martial arts society known as the Murim. However, Shi-Woon is nave and unaware of his master's shady past and the unseen underbelly of the society. How will Chun-Woo manage to teach Shi-Woon and help him survive in the world of the Murim?  (Source: ABLAZE)"
159930,The Infinite Mage,78,38320,Action|Adventure|Drama|Fantasy,Magic:94|School:85|Bullying:80|Tsundere:79|Male Protagonist:78|Full Color:68|Heterosexual:57|Adoption:43|Swordplay:40|War:20,Shirone Arian,"After Sirone was abandoned in a stable, he was found by a family of hunters and raised in a loving home. Despite the hardships of the peasant life, he learned how to read from a young age and became obsessed with books, especially ones on the history of magic. One day, he has an unlikely encounter with a mage and learns how to enter the ""spirit zone,"" the first step to learning how to use magic. Although they say only nobles can be mages, will Sirone be able to prove his infinite potential?
  
(Source: Tapas)"
118424,The Archmage Returns After 4000 Years,75,37420,Action|Adventure|Fantasy,Magic:98|Full Color:94|Reincarnation:90|Gods:85|Revenge:83|Male Protagonist:80|Cultivation:75|Time Skip:73|Dragons:63|Conspiracy:60|Long Strip:60|Cult:52|Female Harem:48|Bullying:44|Elf:40|Demons:40|Kuudere:20|Necromancy:20,Lukas Trowman,"Lucas Trowman was the greatest archmage in history until he was condemned by Demigod to spend eternity losing his mind. But 4,000 years later, he’s thrust back into this world, into the body of Frei Blake, the weakest, most un-talented student at the prestigious Westroad Academy for mages. After all this time, the world of magic has barely progressed. Could this be the work of Demigod? Determined to find out, Lucas seeks to reach the highest levels of power once again and get his revenge.  (Source: Tapas)"
117460,Overgeared,77,37208,Action|Adventure|Comedy|Fantasy,Video Games:100|Virtual World:96|Male Protagonist:92|Magic:75|Kingdom Management:73|Swordplay:68|Long Strip:60|Politics:55|Female Harem:53|Primarily Adult Cast:50|Dragons:41|E-Sports:40|Angels:20,Yeong-U Sin,"Sin Yeong-U (a.k.a. Grid), an unlucky man in life and a low-level player in the popular VR game “Satisfy,” finds a powerful item that earns him a rare legendary class title: “Pagma’s Successor.” He’s now a skilled blacksmith who can forge unique weapons and equip the game’s most powerful gear. Grid resolves to use his new abilities to achieve fame and fortune, but as his very existence begins to stir up trouble in Satisfy, he realizes that life as a legend may be more than he bargained for….
  
(Source: Tapas, edited)"
143056,The Return of the Disaster-Class Hero,75,37135,Action|Fantasy,Anti-Hero:98|Male Protagonist:90|Revenge:88|Gods:84|Full Color:75|Astronomy:73|Dungeon:53|Magic:20,Geon Lee,"Humans call them “calamities”—the unknown, destructive creatures that suddenly appeared on earth. To challenge these calamities, the zodiac gods awakened 12 humans known as saints. But there was one more that awoke—unchosen but the greatest hero of all: Geon Lee. His allies betrayed him and left him for dead, but now, 20 years later, he’s more powerful than ever and ready to teach his fellow “saints” a lesson they’ll never forget.   
(Source: Tapas)"
110462,Tomb Raider King,73,35405,Action|Adventure|Fantasy,Male Protagonist:98|Anti-Hero:87|Full Color:85|Mythology:85|Time Manipulation:85|Revenge:81|Time Skip:75|Age Regression:72|Dungeon:71|Historical:70|Gods:66|Magic:57|Surreal Comedy:56|Female Harem:52|Video Games:47|Guns:25|Demons:20|Long Strip:20|4-koma:10,Ju-Heon Seo,"Mysterious tombs appeared all over the world one day, each containing a relic which grants its owner supernatural abilities. Joo-Heon Suh is a tomb explorer, excavator, and raider. Betrayed by his employer, he's about to die at the hands of a powerful new relic when he suddenly finds himself 15 years in the past, before any relics or tombs made their debut. Driven by feelings of revenge, how will Joo-Heon use his knowledge of the future to become the Tomb Raider King?  
 
(Source: Tapas)  
 Note: Includes 14 extra chapters."
114605,Latna Saga: Survival of a Sword King,76,34865,Action|Adventure|Fantasy,Male Protagonist:95|Swordplay:90|Isekai:89|Full Color:82|Magic:82|Virtual World:77|Gods:72|Dragons:70|Dungeon:57|Alternate Universe:56|Time Skip:50|Video Games:45|Long Strip:20|Time Manipulation:10,Han-Bin Ryu,"After being recently discharged from military service and just drifting through life, Hanbin Ryu is suddenly transported to another world. However, his “guide line,” the system bestowed upon him to help with his survival and growth, was filled with errors, causing him to be stuck in the tutorial stage for over 20 years. When he is finally released from this personal hell, he finds everyone has turned against otherworlders like him. Just how will this low-level, super-tutorial newbie survive?  (Source: Tapas)"
130511,The Player Who Can't Level Up,72,34836,Action|Fantasy,Dungeon:87|Male Protagonist:76|Super Power:76|Urban Fantasy:73|Swordplay:73|Full Color:60|Demons:53|Goblin:45|Virtual World:20|Video Games:20|Angels:20|Long Strip:20|Anti-Hero:10,,"When Kim Kigyu received his invitation to become a player (a unique-ability player, at that), he thought his struggles were over. But no matter how hard he tries, he just can’t seem to get past level 1! After five years of working as a guide on the lower floors of the tower, he’s finally discovered his ability to link with “Egos” and raise his stats. As his new skills unlock adventures in unexplored gates, Kigyu gets his chance to defy expectations and show the world that rank isn’t everything.
  (Source: Tapas)"
